time	V(C)
3.200000000000000e-02	8.759122e-01
3.200010000000000e-02	8.759372e-01
3.240010000000000e-02	1.118458e+00
3.240020000000000e-02	1.118478e+00
3.262874285714286e-02	1.080524e+00
3.285728571428572e-02	1.043756e+00
3.308582857142858e-02	1.008176e+00
3.331437142857143e-02	9.737817e-01
3.354291428571429e-02	9.405748e-01
3.377145714285715e-02	9.085548e-01
3.400000000000000e-02	8.777216e-01
3.400010000000001e-02	8.777466e-01
3.440010000000000e-02	1.120161e+00
3.440020000000001e-02	1.120181e+00
3.462874285714286e-02	1.082169e+00
3.485728571428572e-02	1.045346e+00
3.508582857142858e-02	1.009711e+00
3.531437142857143e-02	9.752644e-01
3.554291428571429e-02	9.420069e-01
3.577145714285715e-02	9.099382e-01
3.600000000000000e-02	8.790581e-01
3.600010000000001e-02	8.790830e-01
3.640010000000000e-02	1.121419e+00
3.640020000000001e-02	1.121439e+00
3.662874285714286e-02	1.083384e+00
3.685728571428572e-02	1.046519e+00
3.708582857142858e-02	1.010844e+00
3.731437142857143e-02	9.763595e-01
3.754291428571430e-02	9.430647e-01
3.777145714285715e-02	9.109599e-01
3.800000000000001e-02	8.800451e-01
3.800010000000000e-02	8.800700e-01
3.840010000000000e-02	1.122348e+00
3.840020000000000e-02	1.122368e+00
3.862874285714286e-02	1.084282e+00
3.885728571428572e-02	1.047386e+00
3.908582857142857e-02	1.011682e+00
3.931437142857143e-02	9.771683e-01
3.954291428571428e-02	9.438459e-01
3.977145714285715e-02	9.117145e-01
4.000000000000000e-02	8.807741e-01
4.000010000000000e-02	8.807990e-01
4.040010000000000e-02	1.123034e+00
4.040020000000000e-02	1.123054e+00
4.062874285714286e-02	1.084944e+00
4.085728571428572e-02	1.048026e+00
4.108582857142858e-02	1.012300e+00
4.131437142857143e-02	9.777657e-01
4.154291428571429e-02	9.444229e-01
4.177145714285715e-02	9.122718e-01
4.200000000000000e-02	8.813125e-01
4.200010000000001e-02	8.813374e-01
4.240010000000000e-02	1.123541e+00
4.240020000000001e-02	1.123561e+00
4.262874285714286e-02	1.085434e+00
