Freq.	Vout    phase
1.86606598307363e+00	9.99994501156848e-01,-2.34495477880574e-03
1.87904549842804e+00	9.99994424396286e-01,-2.36126504789742e-03
1.89211529345121e+00	9.99994346564199e-01,-2.37768876007373e-03
1.90527599608789e+00	9.99994267645628e-01,-2.39422670431369e-03
1.91852823865054e+00	9.99994187625408e-01,-2.41087967508243e-03
1.93187265784971e+00	9.99994106488161e-01,-2.42764847236932e-03
1.94530989482459e+00	9.99994024218293e-01,-2.44453390172631e-03
1.95884059517387e+00	9.99993940799995e-01,-2.46153677430666e-03
1.97246540898673e+00	9.99993856217234e-01,-2.47865790690379e-03
1.98618499087409e+00	9.99993770453757e-01,-2.49589812199051e-03
2.00000000000002e+00	9.99993683493082e-01,-2.51325824775847e-03
2.01391110011345e+00	9.99993595318496e-01,-2.53073911815791e-03
2.02791895958007e+00	9.99993505913054e-01,-2.54834157293767e-03
2.04202425141440e+00	9.99993415259576e-01,-2.56606645768548e-03
2.05622765331215e+00	9.99993323340639e-01,-2.58391462386850e-03
2.07052984768277e+00	9.99993230138578e-01,-2.60188692887424e-03
2.08493152168226e+00	9.99993135635483e-01,-2.61998423605163e-03
2.09943336724615e+00	9.99993039813193e-01,-2.63820741475247e-03
2.11403608112278e+00	9.99992942653291e-01,-2.65655734037311e-03
2.12874036490674e+00	9.99992844137107e-01,-2.67503489439651e-03
2.14354692507260e+00	9.99992744245709e-01,-2.69364096443444e-03
2.15845647300887e+00	9.99992642959899e-01,-2.71237644427012e-03
2.17346972505214e+00	9.99992540260212e-01,-2.73124223390109e-03
2.18858740252150e+00	9.99992436126913e-01,-2.75023923958237e-03
2.20381023175324e+00	9.99992330539989e-01,-2.76936837386991e-03
2.21913894413571e+00	9.99992223479150e-01,-2.78863055566440e-03
2.23457427614446e+00	9.99992114923820e-01,-2.80802671025535e-03
2.25011696937764e+00	9.99992004853138e-01,-2.82755776936544e-03
2.26576777059162e+00	9.99991893245952e-01,-2.84722467119521e-03
2.28152743173687e+00	9.99991780080813e-01,-2.86702836046811e-03
2.29739670999409e+00	9.99991665335974e-01,-2.88696978847573e-03
2.31337636781060e+00	9.99991548989383e-01,-2.90704991312350e-03
2.32946717293693e+00	9.99991431018682e-01,-2.92726969897659e-03
2.34566989846378e+00	9.99991311401200e-01,-2.94763011730619e-03
2.36198532285908e+00	9.99991190113949e-01,-2.96813214613604e-03
2.37841423000546e+00	9.99991067133621e-01,-2.98877677028942e-03
2.39495740923788e+00	9.99990942436583e-01,-3.00956498143628e-03
2.41161565538154e+00	9.99990815998871e-01,-3.03049777814089e-03
2.42838976879012e+00	9.99990687796187e-01,-3.05157616590962e-03
2.44528055538416e+00	9.99990557803893e-01,-3.07280115723926e-03
2.46228882668986e+00	9.99990425997009e-01,-3.09417377166547e-03
2.47941539987800e+00	9.99990292350205e-01,-3.11569503581175e-03
2.49666109780325e+00	9.99990156837798e-01,-3.13736598343861e-03
2.51402674904368e+00	9.99990019433746e-01,-3.15918765549314e-03
2.53151318794059e+00	9.99989880111643e-01,-3.18116110015895e-03
2.54912125463855e+00	9.99989738844715e-01,-3.20328737290639e-03
2.56685179512583e+00	9.99989595605816e-01,-3.22556753654314e-03
2.58470566127501e+00	9.99989450367418e-01,-3.24800266126522e-03
2.60268371088389e+00	9.99989303101610e-01,-3.27059382470821e-03
2.62078680771675e+00	9.99989153780093e-01,-3.29334211199899e-03
2.63901582154582e+00	9.99989002374170e-01,-3.31624861580770e-03
2.65737162819305e+00	9.99988848854747e-01,-3.33931443640013e-03
2.67585510957225e+00	9.99988693192320e-01,-3.36254068169047e-03
2.69446715373141e+00	9.99988535356976e-01,-3.38592846729441e-03
2.71320865489537e+00	9.99988375318384e-01,-3.40947891658260e-03
2.73208051350882e+00	9.99988213045789e-01,-3.43319316073449e-03
2.75108363627952e+00	9.99988048508006e-01,-3.45707233879254e-03
2.77021893622188e+00	9.99987881673417e-01,-3.48111759771685e-03
2.78948733270084e+00	9.99987712509961e-01,-3.50533009244005e-03
2.80888975147603e+00	9.99987540985129e-01,-3.52971098592272e-03
2.82842712474622e+00	9.99987367065960e-01,-3.55426144920905e-03
2.84810039119418e+00	9.99987190719031e-01,-3.57898266148300e-03
2.86791049603169e+00	9.99987011910455e-01,-3.60387581012480e-03
2.88785839104502e+00	9.99986830605869e-01,-3.62894209076782e-03
2.90794503464065e+00	9.99986646770433e-01,-3.65418270735584e-03
2.92817139189128e+00	9.99986460368818e-01,-3.67959887220080e-03
2.94853843458224e+00	9.99986271365205e-01,-3.70519180604078e-03
2.96904714125813e+00	9.99986079723273e-01,-3.73096273809858e-03
2.98969849726991e+00	9.99985885406194e-01,-3.75691290614054e-03
3.01049349482217e+00	9.99985688376627e-01,-3.78304355653583e-03
3.03143313302083e+00	9.99985488596709e-01,-3.80935594431620e-03
3.05251841792115e+00	9.99985286028048e-01,-3.83585133323605e-03
3.07375036257606e+00	9.99985080631719e-01,-3.86253099583298e-03
3.09512998708482e+00	9.99984872368249e-01,-3.88939621348872e-03
3.11665831864204e+00	9.99984661197619e-01,-3.91644827649051e-03
3.13833639158704e+00	9.99984447079247e-01,-3.94368848409291e-03
3.16016524745355e+00	9.99984229971988e-01,-3.97111814457995e-03
3.18214593501971e+00	9.99984009834121e-01,-3.99873857532786e-03
3.20427951035853e+00	9.99983786623342e-01,-4.02655110286811e-03
3.22656703688855e+00	9.99983560296759e-01,-4.05455706295091e-03
3.24900958542498e+00	9.99983330810880e-01,-4.08275780060921e-03
3.27160823423117e+00	9.99983098121604e-01,-4.11115467022303e-03
3.29436406907033e+00	9.99982862184218e-01,-4.13974903558437e-03
3.31727818325781e+00	9.99982622953382e-01,-4.16854226996245e-03
3.34035167771352e+00	9.99982380383125e-01,-4.19753575616946e-03
3.36358566101490e+00	9.99982134426833e-01,-4.22673088662674e-03
3.38698124945015e+00	9.99981885037244e-01,-4.25612906343144e-03
3.41053956707187e+00	9.99981632166432e-01,-4.28573169842363e-03
