time	VR	Vout	Vin
9.855887499688840e-04	7.037293e-03	-6.586408e-01	-6.516035e-01
9.894949999688840e-04	2.363166e-02	-6.583417e-01	-6.347101e-01
9.934012499688840e-04	4.021545e-02	-6.577184e-01	-6.175029e-01
9.973074999688840e-04	5.678868e-02	-6.567708e-01	-5.999822e-01
1.001213749968884e-03	7.335132e-02	-6.554990e-01	-5.821477e-01
1.010700357111741e-03	1.136268e-01	-6.510024e-01	-5.373756e-01
1.020186964254598e-03	1.532809e-01	-6.446792e-01	-4.913984e-01
1.029673571397455e-03	1.923137e-01	-6.365296e-01	-4.442160e-01
1.039160178540313e-03	2.307251e-01	-6.265535e-01	-3.958284e-01
1.048646785683170e-03	2.685152e-01	-6.147510e-01	-3.462358e-01
1.058133392826027e-03	3.056840e-01	-6.011219e-01	-2.954379e-01
1.067619999968884e-03	3.422314e-01	-5.856664e-01	-2.434350e-01
1.073200357111741e-03	3.631592e-01	-5.757975e-01	-2.126384e-01
1.078780714254598e-03	3.836716e-01	-5.653790e-01	-1.817074e-01
1.084361071397455e-03	4.037688e-01	-5.544108e-01	-1.506421e-01
1.089941428540313e-03	4.234506e-01	-5.428931e-01	-1.194424e-01
1.095521785683170e-03	4.427172e-01	-5.308257e-01	-8.810848e-02
1.101102142826027e-03	4.615685e-01	-5.182087e-01	-5.664017e-02
1.106682499968884e-03	4.800045e-01	-5.050421e-01	-2.503753e-02
1.109472678540313e-03	4.890244e-01	-4.982784e-01	-9.254041e-03
1.112262857111741e-03	4.979162e-01	-4.913943e-01	6.521943e-03
1.115053035683170e-03	5.066800e-01	-4.843896e-01	2.229042e-02
1.117843214254598e-03	5.153158e-01	-4.772644e-01	3.805138e-02
1.120633392826027e-03	5.238236e-01	-4.700188e-01	5.380484e-02
1.123423571397456e-03	5.322034e-01	-4.626526e-01	6.955079e-02
1.126213749968884e-03	5.404552e-01	-4.551660e-01	8.528922e-02
1.135142321397456e-03	5.660615e-01	-4.302907e-01	1.357708e-01
1.144070892826027e-03	5.900772e-01	-4.044834e-01	1.855938e-01
1.152999464254598e-03	6.125023e-01	-3.777439e-01	2.347584e-01
1.161928035683170e-03	6.333366e-01	-3.500723e-01	2.832643e-01
1.170856607111741e-03	6.525803e-01	-3.214685e-01	3.311118e-01
1.179785178540313e-03	6.702334e-01	-2.919326e-01	3.783007e-01
1.188713749968884e-03	6.862957e-01	-2.614646e-01	4.248311e-01
1.197084285683170e-03	6.996925e-01	-2.322883e-01	4.674042e-01
1.205454821397456e-03	7.114623e-01	-2.027550e-01	5.087073e-01
1.213825357111741e-03	7.216051e-01	-1.728645e-01	5.487406e-01
1.222195892826027e-03	7.301208e-01	-1.426170e-01	5.875038e-01
1.230566428540313e-03	7.370096e-01	-1.120124e-01	6.249972e-01
1.238936964254598e-03	7.422713e-01	-8.105069e-02	6.612206e-01
1.247307499968884e-03	7.459060e-01	-4.973191e-02	6.961741e-01
1.251771785683170e-03	7.471370e-01	-3.304163e-02	7.140953e-01
1.256236071397456e-03	7.478905e-01	-1.635584e-02	7.315346e-01
1.260700357111741e-03	7.481665e-01	3.254464e-04	7.484920e-01
1.265164642826027e-03	7.479651e-01	1.700224e-02	7.649674e-01
1.269628928540313e-03	7.472863e-01	3.367453e-02	7.809608e-01
1.274093214254598e-03	7.461300e-01	5.034232e-02	7.964723e-01
1.278557499968884e-03	7.444962e-01	6.700561e-02	8.115018e-01
1.288044107111741e-03	7.393739e-01	1.024530e-01	8.418269e-01
1.297530714254598e-03	7.321899e-01	1.373628e-01	8.695527e-01
1.307017321397456e-03	7.229442e-01	1.717349e-01	8.946791e-01
1.316503928540313e-03	7.116369e-01	2.055693e-01	9.172061e-01
1.325990535683170e-03	6.982678e-01	2.388660e-01	9.371338e-01
1.335477142826027e-03	6.828371e-01	2.716250e-01	9.544621e-01
1.344963749968884e-03	6.653447e-01	3.038463e-01	9.691911e-01
1.360588749968884e-03	6.316554e-01	3.554102e-01	9.870655e-01
1.376213749968884e-03	5.938633e-01	4.033558e-01	9.972191e-01
1.391838749968884e-03	5.519686e-01	4.476832e-01	9.996518e-01
1.407463749968884e-03	5.059712e-01	4.883924e-01	9.943636e-01
1.423088749968884e-03	4.558712e-01	5.254833e-01	9.813545e-01
1.438713749968884e-03	4.016685e-01	5.589561e-01	9.606246e-01
1.454338749968884e-03	3.433631e-01	5.888106e-01	9.321737e-01
1.463825357111742e-03	3.069226e-01	6.043214e-01	9.112440e-01
1.473311964254599e-03	2.698693e-01	6.180119e-01	8.878812e-01
1.482798571397456e-03	2.322032e-01	6.298822e-01	8.620854e-01
1.492285178540313e-03	1.939242e-01	6.399323e-01	8.338566e-01
1.501771785683170e-03	1.550325e-01	6.481623e-01	8.031947e-01
1.511258392826027e-03	1.155279e-01	6.545720e-01	7.700998e-01
1.520744999968884e-03	7.541043e-02	6.591614e-01	7.345719e-01
1.524093214254599e-03	6.127886e-02	6.603062e-01	7.215851e-01
1.527441428540313e-03	4.713787e-02	6.612139e-01	7.083517e-01
1.530789642826027e-03	3.298745e-02	6.618844e-01	6.948718e-01
1.534137857111742e-03	1.882761e-02	6.623178e-01	6.811454e-01
1.537486071397456e-03	4.658344e-03	6.625140e-01	6.671724e-01
1.540834285683170e-03	-9.520347e-03	6.624732e-01	6.529528e-01
1.544182499968884e-03	-2.370846e-02	6.621952e-01	6.384867e-01
1.551436964254599e-03	-5.451402e-02	6.607610e-01	6.062469e-01
1.558691428540313e-03	-8.510086e-02	6.582316e-01	5.731307e-01
1.565945892826027e-03	-1.154690e-01	6.546070e-01	5.391380e-01
1.573200357111742e-03	-1.456184e-01	6.498873e-01	5.042689e-01
1.580454821397456e-03	-1.755490e-01	6.440724e-01	4.685234e-01
1.587709285683170e-03	-2.052610e-01	6.371624e-01	4.319014e-01
1.594963749968885e-03	-2.347542e-01	6.291572e-01	3.944030e-01
1.603334285683170e-03	-2.683227e-01	6.185536e-01	3.502309e-01
1.611704821397456e-03	-3.011122e-01	6.066403e-01	3.055281e-01
1.620075357111742e-03	-3.331228e-01	5.934174e-01	2.602946e-01
1.628445892826027e-03	-3.643544e-01	5.788848e-01	2.145304e-01
1.636816428540313e-03	-3.948071e-01	5.630426e-01	1.682355e-01
1.645186964254599e-03	-4.244809e-01	5.458908e-01	1.214099e-01
1.653557499968885e-03	-4.533757e-01	5.274293e-01	7.405368e-02
1.658021785683170e-03	-4.683051e-01	5.171252e-01	4.882003e-02
1.662486071397456e-03	-4.829136e-01	5.065091e-01	2.359543e-02
1.666950357111742e-03	-4.972012e-01	4.955810e-01	-1.620111e-03
1.671414642826027e-03	-5.111677e-01	4.843411e-01	-2.682659e-02
1.675878928540313e-03	-5.248133e-01	4.727893e-01	-5.202401e-02
